ID,Age,Sex,Status,Last_Name,First_Name,Family_Group_Size,First_Snow,Last_Date,Delete,Employee,Comments
63,36,Female,Died,Murphy,Levinah,13,1846-10-28,1847-03-20,0,0,
64,14,Female,Survived,Murphy,Mary,13,1846-10-28,1847-04-29,0,0,
65,8,Male,Survived,Murphy,Simon,13,1846-10-28,1847-04-29,0,0,
66,10,Male,Suvived,Murphy,William,13,1846-10-28,1847-04-29,0,0,
67,1,Female,Died,Pike,Catherine,13,1846-10-28,1847-02-20,0,0,
68,18,Female,Survived,Pike,Harriet,13,1846-10-28,1847-04-29,0,0,
69,3,Female,Survived,Pike,Naomi,13,1846-10-28,1847-04-29,0,0,
70,32,Male,Died,Pike,William,13,1846-10-28,1846-10-22,1,0,"Wikipediasaysshotbeforesnowstorm;Stewart10/20,Brown10/22"
71,45,Male,Survived,Reed,James,6,1846-10-28,1847-04-29,1,0,ArrivedinCAbeforeentrapment
72,5,Male,Survived,Reed,JamesJr,6,1846-10-28,1847-04-29,0,0,
73,32,Female,Survived,Reed,Margaret,6,1846-10-28,1847-04-29,0,0,
74,8,Female,Survived,Reed,Martha(Patty),6,1846-10-28,1847-04-29,0,0,
75,3,Male,Survived,Reed,Thomas,6,1846-10-28,1847-04-29,0,0,
76,13,Female,Survived,Reed,Virginia,6,1846-10-28,1847-04-29,0,0,
77,30,Male,Died,Reinhardt,Joseph,1,1846-10-28,1846-12-15,0,0,"Bachelor Keseberg companion or partner of Spitzer, confessed to murdering Wolfinger"
78,25,Male,Died,Shomaker,Samuel,1,1846-10-28,1846-12-15,0,1,Teamster for one of the Donners
79,25,Male,Died,Smith,James,1,1846-10-28,1846-12-15,0,1,Reed employee
80,25,Male,Died,Snyder,John,1,1846-10-28,1846-10-06,1,1,Teamster for Graves killed before moutains
81,30,Male,Died,Spitzer,Augustus,1,1846-10-28,1847-02-08,0,0,"Keseberg companion, mysterious role Rarick"
82,35,Male,Died,Stanton,Charles,1,1846-10-28,1846-12-21,0,0,"Individual emigrant according to Rarick, not a teamster"
83,16,Male,Survived,Trudeau,Jean Baptiste,1,1846-10-28,1847-04-29,0,1,Rarick: Age 16; Donner employee
84,25,Male,Died,Williams,Baylis,2,1846-10-28,1846-12-15,0,1,Wikipedia says 12-15; Reed employee
85,31,Female,Survived,Williams,Eliza,2,1846-10-28,1847-04-29,0,1,"Hired girl for Reed, sister of Baylis"
86,,Male,Died,Wolfinger,Mr,2,1846-10-28,1846-10-13,1,0,Stewart p 166: Murdered by Reinhardt & Spitzer who gave his gun to Keesberg
87,29,Female,Survived,Wolfinger,Dorothea,2,1846-10-28,1847-04-29,0,0,"Age from Rarick (2008, xi); Survived with George Donners to testify in May 1847 Keseberg defamation trial (Stewart p 193, 287). Stewart: Doris walked with women leaving husband to cache supplies after oxen killed."
